valid_time,sm_swvl1
2024-09-18,0.2057255
2024-09-19,0.2006802
2024-09-20,0.1958083
2024-09-21,0.20088027
2024-09-22,0.21028602
2024-09-23,0.24549338
2024-09-24,0.30385682
2024-09-25,0.30774814
2024-09-26,0.28549072
2024-09-27,0.27284443
2024-09-28,0.36108136
2024-09-29,0.36927158
2024-09-30,0.3265066
2024-10-01,0.29294953
2024-10-02,0.2763707
2024-10-03,0.33808404
2024-10-04,0.3719406
2024-10-05,0.39433324
2024-10-06,0.3542811
2024-10-07,0.33904517
2024-10-08,0.36728746
2024-10-09,0.40530795
2024-10-10,0.40084523
2024-10-11,0.38941997
2024-10-12,0.41234407
2024-10-13,0.40424109
2024-10-14,0.42350417
2024-10-15,0.4425263
2024-10-16,0.45159847
2024-10-17,0.45096302
2024-10-18,0.43627477
2024-10-19,0.43502086
2024-10-20,0.42384654
2024-10-21,0.44036943
2024-10-22,0.4276325
2024-10-23,0.4099349
2024-10-24,0.40053368
2024-10-25,0.3792217
2024-10-26,0.3587116
2024-10-27,0.34505448
2024-10-28,0.3339815
2024-10-29,0.3209076
2024-10-30,0.3132978
2024-10-31,0.3169796
2024-11-01,0.32395628
2024-11-02,0.3399174
2024-11-03,0.35614675
2024-11-04,0.35236645
2024-11-05,0.33021596
2024-11-06,0.31160182
2024-11-07,0.30560657
2024-11-08,0.29936445
2024-11-09,0.28659824
2024-11-10,0.27712125
2024-11-11,0.2712518
2024-11-12,0.38937262
2024-11-13,0.42866617
2024-11-14,0.42197236
2024-11-15,0.42077243
2024-11-16,0.41897574
2024-11-17,0.40714133
2024-11-18,0.40017736
2024-11-19,0.3877724
2024-11-20,0.37167048
2024-11-21,0.35598105
2024-11-22,0.3400736
2024-11-23,0.32846224
2024-11-24,0.31928104
2024-11-25,0.31140321
2024-11-26,0.3284635
2024-11-27,0.3401841
2024-11-28,0.3600233
2024-11-29,0.3942061
2024-11-30,0.43637982
2024-12-01,0.44098237
2024-12-02,0.43532532
2024-12-03,0.43888476
2024-12-04,0.4274813
2024-12-05,0.4240663
2024-12-06,0.421749
2024-12-07,0.4135327
2024-12-08,0.39862627
2024-12-09,0.38475102
2024-12-10,0.37489817
2024-12-11,0.39857316
2024-12-12,0.44310415
2024-12-13,0.41517437
2024-12-14,0.40400362
2024-12-15,0.39436722
2024-12-16,0.38467255
2024-12-17,0.3769791
2024-12-18,0.4006337
2024-12-19,0.4081102
2024-12-20,0.40336075
2024-12-21,0.39376563
2024-12-22,0.38586965
2024-12-23,0.37141567
2024-12-24,0.38619888
2024-12-25,0.38763487
2024-12-26,0.40516764
2024-12-27,0.4322555
2024-12-28,0.40962008
2024-12-29,0.39858907
2024-12-30,0.38886827
2024-12-31,0.3768465
